id;name;image_id
467;Салат с куриной печенью и солеными огурцами и морковью;4914
495;Быстрая хрустящая капуста в банке маринованная;4942
511;Салат с курицей, помидорами и сыром;4958
522;Салат с изюмом и сметаной;4969
529;Салат с морковью и солеными огурцами;4976
535;Салат Елочка на Новый год;4982
540;Салат зеленый лук с яйцом и майонезом;4987
541;Салат Тбилиси говядина красная фасоль болгарский перец;4988
549;Салат Министерский классический;4996
552;Салат коул слоу классический;4999
561;Крем суп из тыквы со сливками на первое;5008
565;Суп харчо из свинины с рисом;5012
569;Уха из красной рыбы;5016
576;Молочный суп с вермишелью на первое;5023
589;Грибной суп пюре из шампиньонов со сливками классический;5036
681;Армянский хаш;5128
689;Клецки для супа из муки и яиц;5136
712;Куриный бульон с лапшой;5159
716;Куриный бульон с яйцом;5163
717;Жареная морковь с луком на сковороде;5164
723;Запеченная утка с апельсинами в духовке на второе;5170
733;Жареное мясо на сковороде;5180
734;Куриная печень на сковороде жареная с луком;5181
736;Пышный омлет на сковороде;5183
747;Цветная капуста в кляре на сковороде;5194
752;Тушеный рис с тыквой;5199
758;Мармелад из тыквы с желатином в домашних условиях;5205
760;Творожная запеканка пп без муки и манки в духовке;5207
762;Простой и вкусный салат из свежей белокочанной капусты;5209
764;Запеченная тыква в микроволновке кусочками с медом;5211
767;Салат из репы желтой;5214
768;Фруктовое желе из желатина домашнее;5215
769;Салат Тёрка;5216
771;Фруктовый смузи в блендере;5218
774;Салат из фасоли с морковью и луком;5221
776;Диетические ПП сырники из творога в духовке;5223
777;Фруктовый салат с помидорами и ананасом по-японски;5224
778;Яблоки с медом запеченные в микроволновке целиком в кожуре;5225
779;Салат из свежей тыквы;5226
781;Льняной кисель из льняного семени;5228
782;Кутья из риса с изюмом и медом;5229
789;Канапе на детский день рождения;5236
792;Яблоки фаршированные черносливом;5239
795;Салат с вялеными помидорами и рукколой ПП;5242
797;Простой ПП салат из дайкона с морковью и яблоком;5244
798;Кексы без глютена ПП;5245
799;Батончики из сухофруктов и орехов своими руками;5246
802;Овсяноблин без яиц и молока ПП;5249
804;Банановые оладьи ПП с рисовой мукой без глютена;5251
805;Цимес еврейский;5252
807;Батончик гранола;5254
814;Конфеты чернослив в шоколаде;5261
815;Банановое Мороженое с Клубникой, без сахара и сливок.;5262
820;ПП Салат с сельдереем, яблоком, орехами и лимонным соком;5267
823;Салат из свежей моркови с айвой мандаринами медом;5270
830;Салат из клубники и киви;5277
836;Фруктовый салат с клубникой и виноградом;5283
841;Салат с клубникой и рукколой;5288
847;Конфеты из сухофруктов в блендере;5294
864;Фруктовый салат к завтраку;5311
868;Тушеная морковь с черносливом;5315
872;Салат из свежей свеклы и яблок с грецкими орехами;5319
879;Апельсины с грецкими орехами в духовке;5326
885;Медовые бананы с кунжутной посыпкой;5332
886;салат из свеклы с изюмом и орехами;5333
887;Чернослив в шоколаде с орешками;5334
888;Полезные конфеты;5335
899;Салат айсберг с оливковым маслом;5346
900;Салат из сырой свеклы с грецкими орехами и черносливом;5347
901;Салат Новинки с сельдереем и грецкими орехами;5348
908;Чипсы из бананов с кайенским перцем;5355
909;Банановые панкейки без сахара;5356
910;Жидкое золото (масло гхи);5357
915;Заварной крем классический;5362
917;Домашняя горчица из горчичного порошка;5364
920;Шарлотка классическая с яблоками в духовке пышная;5367
