dish_id;category_id
3;1
5;1
6;1
7;1
8;1
9;1
10;1
11;1
14;1
18;1
22;1
25;1
26;1
27;1
30;1
33;1
34;1
35;1
37;1
41;2
41;8
42;2
42;8
43;2
43;8
44;2
46;2
46;8
47;2
49;2
50;2
62;2
62;1
63;2
63;9
70;2
73;2
75;2
75;9
76;2
79;2
79;1
80;2
80;9
84;2
87;2
88;2
93;2
94;2
95;2
96;2
98;2
101;2
104;2
105;2
106;2
108;2
113;2
119;2
123;2
126;2
127;2
133;2
135;2
139;2
140;2
141;2
142;2
147;2
148;2
150;2
151;2
151;3
154;2
155;2
156;2
159;2
162;2
164;2
165;2
165;9
171;2
172;2
173;2
175;2
177;2
178;2
179;2
181;2
183;2
185;2
189;2
190;2
195;2
198;2
199;2
200;3
201;3
203;3
205;3
206;3
206;9
207;3
208;3
209;3
210;3
210;9
212;3
214;3
215;3
216;3
218;3
223;3
224;3
225;3
227;3
228;3
229;3
230;3
234;3
236;3
238;3
239;3
240;3
242;3
249;3
251;3
252;3
256;3
264;3
266;3
269;3
275;3
279;3
284;3
285;3
287;3
297;3
298;3
299;3
302;3
305;3
315;3
317;3
321;3
322;3
323;3
324;3
325;3
329;3
330;3
331;3
332;3
334;3
335;3
337;3
341;3
342;3
344;3
349;3
349;1
389;4
389;1
449;5
449;1
465;5
465;3
467;5
495;5
495;3
511;5
522;5
529;5
535;5
540;5
541;5
549;5
552;5
561;6
565;6
569;6
576;6
589;6
681;6
689;6
712;6
716;6
717;7
717;2
723;7
733;7
734;7
736;7
736;2
747;7
747;2
752;7
752;2
758;8
760;8
762;8
762;3
764;8
767;8
768;8
769;8
769;3
771;8
774;8
776;8
777;8
778;8
779;8
781;8
782;8
789;8
792;8
795;8
797;8
798;8
799;8
802;8
804;8
805;8
807;8
814;8
815;8
820;8
823;8
830;8
836;8
841;8
847;8
864;8
868;8
872;8
879;8
885;8
886;8
887;8
888;8
899;8
900;8
901;8
908;8
909;8
910;8
915;9
917;9
920;9
921;9
924;9
926;9
927;9
930;9
932;9
934;9
936;9
942;9
946;9
947;9
950;9
951;9
957;9
960;9
962;9
965;9
966;9
970;9
974;9
975;9
