id;name;calories_number;glycemic_index;protein_number;fat_number;carbohydrate_number
1033;Эндивий;17;10;1.2;0;3.4
1032;Авелук;19;10;1.5;0.3;2.9
1752;Листья салата;12;10;1.2;0.3;1.3
851;Грузди свежие;16;10;1.8;0.8;1.1
839;Хрен тёртый столовый;117;10;2.2;7.8;9.6
867;Лайм;16;10;0.9;0.1;3
1522;Whey протеин сывороточный;372;10;78.5;3.8;5.8
837;Хрен тёртый с чесноком;72;10;1.2;4.1;7.5
743;Сакэ;50;10;0.5;0;5
1541;Красная рябина;43;10;1.4;0.1;11.8
775;Каперсы консервированные;23;10;2;0;1
1559;Замороженные голубцы;132;10;8;6.6;10
1567;Смесь молотых перцев;255;10;10.95;3.26;38.31
1579;Молодая капуста;27;10;5.75;0.08;5.25
1194;Вино;76;10;0;0;2.3
1590;Сухой квас;20;10;0.2;0;5
812;Кетчуп;93;10;1.8;1;22.2
836;Хрен тёртый с лимоном;117;10;2.2;7.8;9.6
1387;Помидоры зеленые;20;8;1.1;0.2;3.8
1299;Шоколадное масло;642;8;1.5;62;18.6
1393;Сушеные баклажаны;202;8;2.8;0.3;9.8
1444;Овощной бульон;13;8;0.65;0.18;2.36
1455;Молотая корица;247;8;3.9;3.2;79.8
1454;Палочка корицы;261;8;3.9;3.2;79.8
1093;Мак;556;8;17.5;47.5;14.5
1216;Приправа Магги;59;8;0.3;2.1;9.6
771;Томатная паста;28;8;5.6;1.5;16.7
777;Корица;247;8;3.9;3.2;79.8
782;Перец черный горошек;255;8;10.95;3.26;38.31
790;Цедра лимонная;47;8;1.5;0.3;5.4
791;Цедра апельсиновая;97;8;1.5;0.2;14.4
802;Анис;337;8;17.6;15.9;35.42
806;Гвоздика;323;8;6;20.1;27
807;Зира;112;8;12;5;32
811;Карри;352;8;12.7;13.8;25
813;Кинза сушёная молотая;216;8;3;0;54.5
831;Тимьян сушеный;276;8;9.1;7.4;26.9
871;Мак (семя);556;8;17.5;47.5;14.5
930;Сок персика;69;8;0;0;17
1664;Ксилит;243;7;0;0;97.9
1433;Сухие дрожжи;410;7;49;6;40
1305;Компот;60;7;0.8;0;14.2
1300;Глютeн;370;6;75.1;1.8;13.7
1331;Гранатовый сок;64;6;0.3;0;14.5
1067;Лимонная кожура;47;6;1.5;0.3;5.4
1355;Листья клубники;30;5;0.6;0.4;7
1329;Сок;36;5;0;0;12
1332;Клюквенный сок;46;5;0.4;0.3;11
1325;Пепсин;38;5;0;0;8.7
1613;Утиная грудка;241;5;17.75;18.9;2.1
1452;Шалфей свежий;58;5;0.1;0.1;0.4
1633;Таркинский перец;40;5;1.9;0.5;7.4
1366;Иван чай;103;5;4.7;2.7;8.6
1373;Ромашка;9;5;0;0;8
1389;Спаржа белая;14;5;1.9;0.3;1
1390;Спаржа фиолетовая;20;5;1.4;0.5;1.9
1388;Спаржа зеленая;25;5;1.11;0.84;2.82
1371;Икра красная;245;5;32;15;0
1456;Овечий сыр;341;5;13.9;27.9;8.9
1453;Винный уксус красный;19;5;0.4;0;0.27
1458;Сыр с плесенью;353;5;21.4;28.74;2.34
1513;Каймак;750;5;3.73;22.83;2.54
1524;Пророщенная пшеница;198;5;7.5;1.3;41.4
478;Сосиски консервированные ;228;5;42;174.6;10.4
479;Кровяная колбаса ;274;5;9;19.6;15.4
1527;Пророщенная соя;141;5;13.1;6.7;9.6
1526;Пророщенная гречка;310;5;12.6;3.3;62
1528;Пророщенный маш;30;5;3;0.2;4.1
1548;Льняная мука;270;5;36;10;9
1540;Черноплодная рябина;52;5;1.5;0.1;13.6
1556;Виноградный жмых;15;5;0.2;0;5
1568;Смесь перцев горошком;231;5;11.3;4.6;36
1566;Горчица зернистая;135;5;6.89;6.67;10.17
1570;Протеин;375;5;75;3.8;12.5
1565;Салат корн;16;5;1.49;0.2;1.71
773;Горчица столовая;417;5;5;40;10
774;Дрожжи прессованные;109;5;12.7;2.7;8.3
781;Перец молотый красный;318;5;0.7;0.3;4.6
783;Перец черный молотый;255;5;10.4;3.3;38.7
786;Тмин;333;5;17.8;44.2;22.3
787;Уксус 9%;11;5;0;0;3
788;Хмели-сунели;417;5;1;4.1;22.1
789;Шафран;310;5;11.4;5.9;65.4
792;Аджика;59;5;1;3.7;5.8
794;Сок ананасовый;48;5;0.3;0.1;11.4
795;Сок виноградный;54;5;0.3;0;14
796;Сок яблочный;42;5;0.4;0.4;9.8
803;Базилик свежий;27;5;3.17;0.68;1.09
804;Базилик сушеный;251;5;14.37;3.98;20.46
805;Ванилин;288;5;0.1;0.1;12.7
809;Имбирь сухой;347;5;1.8;0.8;15.8
810;Имбирь маринованный;51;5;0.2;0.3;12.5
815;Кориандр;25;5;1.5;0;5
1016;Маскарпоне сыр;412;5;4.8;41.5;4.8
820;Майоран;271;5;12.7;7;60.6
821;Мускатный орех;556;5;20;50;7
822;Мята свежая;49;5;3.7;0.4;8
823;Мята сушеная;285;5;19.9;6;22.2
824;Орегано сушеный;306;5;11;10.3;21.6
826;Перец чили;40;5;2;0.2;9.5
827;Разрыхлитель теста;79;5;0.1;0;19.6
828;Розмарин;131;5;3.3;5.9;20.7
830;Тимьян;101;5;5.6;1.7;10.5
832;Ткемали;418;5;5;40;10
833;Уксус бальзамический;88;5;0.5;0;17
834;Уксус яблочный;14;5;0;0;7.2
840;Эстрагон;25;5;1.5;0;5
845;Нори;3;5;4;2.5;4
1525;Пророщенный овес;480;5;15.1;9.4;83.9
876;Шалфей;315;5;10.6;12.8;39.5
877;Чабрец;276;5;5.6;1.7;10.5
878;Тархун;40;5;0;0;4.6
880;Мисо;199;5;0.3;0.3;6.1
882;Васаби;143;5;4.7;8.1;11.6
929;Сок вишневый;47;5;0;0;10
936;Закваска;29;5;3;0.1;4
942;Рассол;1;5;0.22;0;0.3
947;Соус табаско;12;5;0.8;0.5;1.1
657;Треска тушеная;101;5;9.7;5.1;3.9
772;Винный уксус (3%);9;5;0;0;1
953;Дудник;41;5;0;0;10
954;Женьшень;41;5;0;0;10
956;Заманиха;9;5;0;0;9
957;Зверобой;10;5;0;0;9
1628;Строчки грибы;24;5;2.9;0.5;2
1644;Сыр косичка;320;5;19.5;26;2.2
972;Буженина;233;5;16.4;18.3;1
1650;Кольца кальмара;191;5;37.15;1.86;7.66
1632;Королевские шампиньоны;27;5;4.3;1;1
1691;Самогон;295;5;0.1;0.1;0.4
1066;Апельсиновая кожура;36;5;0.9;0.2;8.1
1345;Чистотел;12;4;0.5;0.1;8
1704;Сорбит;260;4;0;0;100
